Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
John Lanchbery,2010,Cop Side Event,2010_Cop Side Event,john lanchbery,5,John Lanchbery,Mr.,Mr. John Lanchbery,7,,,2,John Lanchbery|2010|Cop Side Event
John Lanchbery,2011,Cop Side Event,2011_Cop Side Event,john lanchbery,5,John Lanchbery,Mr.,Mr. John Lanchbery,7,,,2,John Lanchbery|2011|Cop Side Event
John Maleri,2011,Cop Side Event,2011_Cop Side Event,john maleri,1,John Maleri,Mr.,Mr. John Maleri,1,,,2,John Maleri|2011|Cop Side Event
John-michael Cross,2010,Cop Side Event,2010_Cop Side Event,john-michael cross,1,John-Michael Cross,Mr.,Mr. John-Michael Cross,1,,,2,John-Michael Cross|2010|Cop Side Event
John Nganga,2001,IPCC,2001_IPCC,john nganga,2,John Nganga,Mr.,Mr. John Nganga,2,,,2,John Nganga|2001|IPCC
John Nganga,2007,IPCC,2007_IPCC,john nganga,2,John Nganga,Mr.,Mr. John Nganga,2,,,2,John Nganga|2007|IPCC
John Niles,2009,Cop Side Event,2009_Cop Side Event,john niles,2,John Niles,Mr.,Mr. John Niles,1,,,2,John Niles|2009|Cop Side Event
John Niles,2011,Cop Side Event,2011_Cop Side Event,john niles,2,John Niles,Mr.,Mr. John Niles,1,,,2,John Niles|2011|Cop Side Event
John O. Niles,2010,Cop Side Event,2010_Cop Side Event,john o. niles,1,John O. NILES,Mr.,Mr. John O. NILES,4,,,3,John O. NILES|2010|Cop Side Event
John Parrotta,2011,Cop Side Event,2011_Cop Side Event,john parrotta,1,John Parrotta,Mr.,Mr. John Parrotta,2,,,2,John Parrotta|2011|Cop Side Event
John Scowcroft,2003,Cop Side Event,2003_Cop Side Event,john scowcroft,1,John Scowcroft,Mr.,Mr. John Scowcroft,1,,,2,John Scowcroft|2003|Cop Side Event
John W. Ashe,2005,SBI,2005_SBI,john w. ashe,1,John W. Ashe,H.E. Mr.,H.E. Mr. John W. Ashe,11,,FCCC-SBI-2005-10,3,John W. Ashe|2005|SBI
Jonathan Bamber,2013,IPCC,2013_IPCC,jonathan bamber,1,Jonathan BAMBER,Mr.,Mr. Jonathan BAMBER,1,,,2,Jonathan BAMBER|2013|IPCC
Jonathan Cobb,2008,Cop Side Event,2008_Cop Side Event,jonathan cobb,2,Jonathan Cobb,Mr.,Mr. Jonathan Cobb,7,,,2,Jonathan Cobb|2008|Cop Side Event
Jonathan Cobb,2009,Cop Side Event,2009_Cop Side Event,jonathan cobb,2,Jonathan Cobb,Mr.,Mr. Jonathan Cobb,7,,,2,Jonathan Cobb|2009|Cop Side Event
Jonathan Hall,2012,Cop Side Event,2012_Cop Side Event,jonathan hall,1,Jonathan Hall,Mr.,Mr. Jonathan Hall,2,,,2,Jonathan Hall|2012|Cop Side Event
